cnms,frequency,total_salecs
Recreational Vehicle,7,8440.654
Global Communications Industry,6,8417.853
Rexam Plc  -ADR,5,8402.01
OE Customers,2,8319.0
Regulated Electric - Industrial,14,8317.0
Rolling chip gaming promoters,10,8297.882
Retail and e-Commerce,2,8261.475999999999
Residential and Commercial,14,8238.19
WASHINGTON,3,8225.0
U.S.Retail,5,8201.02
Electrical construction,7,8163.773
U.S. Land Market Area,8,8159.566
outside the United States,11,8139.584
Airports,6,8131.2
Original Equipment - Emission Control Systems & Pr,2,8115.0
Direct and Government Aggregation,2,8100.0
Russia and The Ukraine,1,8095.36
e-commerce,26,8037.427
Large Enterprise,2,7995.0
Bakken,4,7993.0
Medicare and Medicaid,21,7987.094
Direct-To-Consumer,4,7980.813
Brokers and Merchants,9,7977.706
Household customers,4,7974.139999999999
North American Stores and Internet,3,7971.134
Utah,196,7943.27
Direct-Store-Delivery,7,7939.18
