gvkey,sector
135990,55
136648,25
136725,35
136804,35
136884,35
137024,10
137066,50
137310,45
137435,50
137573,45
137602,45
137609,20
137641,45
137642,35
137943,50
138122,35
138126,35
138205,35
138466,35
138467,45
138501,45
138601,40
138608,35
138613,45
138662,35
138707,35
138743,60
138781,35
138921,45
139225,10
139665,40
139804,45
140023,35
140030,45
140033,55
140042,35
140044,35
140045,20
140073,35
140541,25
140672,35
140759,45
140760,15
140902,50
140905,10
141197,35
141277,35
141278,45
141359,20
141363,10
141389,45
141400,10
141459,25
141460,35
141496,35
141720,10
141846,35
141913,40
141982,10
142248,50
142260,10
142337,10
142339,10
142460,10
142540,10
142811,10
142812,15
142814,45
142933,10
143217,50
143357,45
143689,40
143710,20
143909,35
143974,40
144009,40
144058,25
144066,20
144115,45
144435,30
144437,45
144496,40
144520,35
144559,35
144647,40
144809,10
145046,35
145049,25
145350,55
145552,35
145729,10
145977,25
145979,20
146017,20
146137,10
146140,60
146156,35
146212,10
146500,35
147208,10
147303,25
147305,20
147398,10
147453,20
147579,50
147638,25
147639,20
147708,30
147868,25
148219,35
148221,15
148313,20
148328,20
148350,25
148390,45
148396,45
148410,25
148470,25
148950,20
149268,10
149318,25
149337,40
149477,25
149620,40
149683,25
149721,50
149738,40
149998,35
150139,25
150258,10
150277,10
150278,25
150477,40
150562,10
150681,35
150699,10
150837,10
150937,45
151161,30
151403,40
151576,UNKNOWN
151630,35
151632,10
152149,35
152809,15
152909,UNKNOWN
153668,25
154039,45
154357,10
154434,45
154605,35
154739,60
155133,10
155280,20
155393,10
155458,60
155616,50
155969,55
155970,55
156153,45
156155,45
156614,25
156617,35
156857,35
156861,25
157057,40
157074,10
157218,25
157373,55
157415,25
157493,40
157635,45
157679,60
157755,50
157855,45
157862,20
157954,35
158563,35
158743,30
158791,45
159194,10
160173,40
160183,25
160207,25
160213,45
160214,10
160216,45
160225,40
160232,45
160255,35
160256,50
160272,35
160288,UNKNOWN
160329,50
160340,35
160341,10
160367,35
160375,35
160378,60
160474,20
160479,60
160570,20
160578,35
160580,15
160598,20
160600,35
160621,10
160629,45
160631,45
160661,20
160668,35
160739,45
160770,35
160776,40
160779,15
160797,45
160798,50
160809,35
160838,10
160902,35
160912,25
160913,55
160990,60
160991,60
161000,40
