gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001194,AHMANSON (H F) & CO,AHM.1,P,01,LU,56266,20028,1972-12-14,1998-10-30
001195,AID AUTO STORES INC  -OLD,AASS,C,00X,LU,11253,9,1974-01-01,1978-01-30
001195,AID AUTO STORES INC  -OLD,AASS,P,01,LU,11253,9,1978-01-31,1985-06-28
001196,AIKEN INDUSTRIES INC,AKN.1,P,01,LU,44820,24779,1968-01-31,1976-09-30
001197,AILEEN INC,AEENQ,C,01,LU,39116,20029,1963-04-23,1995-07-14
001199,AGRICULTURAL & INDL DEV INC,AIDI,C,01,LU,11280,135,1979-05-11,1980-08-11
001200,AIR CALIFORNIA,AIAO,P,01,LC,11288,31,1972-12-14,1973-05-31
001201,AIR CARGO EQUIPMENT CORP,ARCE.1,P,01,LU,11296,330,1979-01-31,1988-12-30
001202,AIR CHAPARRAL INC,ACHPQ,P,01,LC,11309,39,1981-07-09,1983-08-24
001203,AIR EXPRESS INTERNATIONAL CP,AEIC,C,01,LU,61081,143,1973-01-31,2000-02-29
001204,AIR FLORIDA SYSTEM INC,AIRQC,C,00X,LU,11317,144,1973-08-01,1979-01-30
001204,AIR FLORIDA SYSTEM INC,AIRQC,C,01,LU,11317,144,1979-01-31,1984-08-16
001206,AIR INDS CORP,AIRI.1,P,01,LC,11325,22268,1972-12-14,1973-12-31
001208,AIR MIDWEST INC,AMWI.,P,01,LU,11341,5678,1982-11-05,1991-07-31
001209,AIR PRODUCTS & CHEMICALS INC,APD,P,01,LC,28222,20030,1962-01-31,E
001210,AIR T INC,AIRT,C,01,LC,11368,6977,1984-04-23,E
001211,AIR WEST INC,AWT.,C,00X,LC,43756,24706,1966-09-06,1968-12-31
001212,AIR WISCONSIN SERVICES INC,ARWS,P,01,LU,11376,359,1979-01-31,1992-01-31
001213,AIRBORNE INC,ABF,P,01,LU,51721,20031,1971-01-05,2003-08-15
001214,ACI HOLDING INC,ACF.1,P,01,LU,67125,6325,1983-08-25,1987-04-30
001215,AIRCO INC,AN.1,P,01,LU,10102,22164,1962-01-31,1978-04-28
001215,AIRCO INC,AN.1,C,00X,LU,10102,22164,1950-01-01,1962-01-30
001217,AIRLIFT INTERNATIONAL INC,ALFT,C,00X,LU,46244,161,1973-07-01,1978-06-29
001217,AIRLIFT INTERNATIONAL INC,ALFT,C,01,LU,46244,161,1978-06-30,1980-11-03
001218,AIRPAX ELECTRONICS INC,AXE.1,P,01,LU,44775,24775,1967-08-03,1976-04-30
001219,AIRWICK INDUSTRIES INC,AWI.1,P,01,LC,47378,24936,1968-12-19,1974-05-31
001220,AJAX MAGNETHERMIC CORP,AJX.1,P,01,LC,41793,24562,1965-04-07,1975-07-31
001221,AKZONA,AXO.2,P,01,LU,25662,23350,1962-01-31,1982-08-31
001222,ALA MOANA HAWAII PROPERTIES,ALA.2,P,01,LC,63415,25710,1982-01-29,1988-04-22
001222,ALA MOANA HAWAII PROPERTIES,ALA.2,C,00X,LC,63415,25710,1982-01-01,1982-01-28
001226,ALAMCO INC,AXO.1,P,02,LU,64848,5335,1982-03-24,1997-08-29
001227,ALAMITO CO,ATO.3,P,01,LU,67133,25779,1985-01-07,1986-05-30
001228,ALANCO TECHNOLOGIES INC,ALAN,C,02,LC,11456,5348,1982-05-14,1986-01-22
001228,ALANCO TECHNOLOGIES INC,ALAN,C,02,LC,11456,5348,1990-04-23,2011-07-25
001228,ALANCO TECHNOLOGIES INC,ALAN,C,02,LC,11456,5348,1988-08-23,1990-02-01
001229,ALANTHUS CORP,ALTS.,P,01,LU,11472,183,1972-12-14,1978-07-31
001230,ALASKA AIR GROUP INC,ALK,P,01,LU,28804,20035,1966-01-31,E
001232,ALASKA INTL INDUSTRIES INC,ALKA,P,01,LU,11520,167,1974-11-05,1979-08-31
001233,ALASKA NORTHWEST PROPERTIES,3ANWP,C,01,LU,11536,285,1980-05-30,1987-06-18
001234,ATRION CORP,ATRI,P,01,LU,11587,392,1972-12-14,2024-08-30
001235,ALBA-WALDENSIAN INC,AWS.1,P,01,LU,49584,20036,1969-11-25,1999-12-31
001236,ALBANY INTL CORP  -OLD,ABY.,P,01,LU,57998,132,1972-12-14,1983-07-29
001238,ALBERTA ENERGY CO LTD,AOG.3,P,01,LC,82233,27934,1995-09-21,2002-04-05
001239,ALBERTO-CULVER CO,ACV.1,P,01,LC,42083,8127,1965-06-11,2011-05-10
001239,ALBERTO-CULVER CO,ACV.1,J,02,LC,69163,8127,1986-04-23,2003-11-05
001240,ALBERTSON'S INC,ABS.1,P,01,LU,50032,20038,1970-02-10,2006-06-30
001241,ALBION INTL RESOURCES INC,6584B,P,01,LU,11608,7161,1984-08-01,1989-06-30
001242,ALBUQUERQUE WESTN SOLAR INDS,2873B,P,01,LC,11616,186,1979-01-31,1980-06-27
001243,ALCAN INC,AL.1,P,01,LC,24264,20039,1962-01-31,2007-11-14
001243,ALCAN INC,AL.1,C,00X,LC,24264,20039,1950-05-31,1962-01-30
001244,ALCIDE CORP,ALCD.,P,01,LC,11624,5686,1983-05-26,2004-07-30
001245,AMERISOURCE CORP,ABC1,P,02,LC,85244,7691,1985-08-15,1989-10-31
001246,IKON OFFICE SOLUTIONS,IKN,P,01,LU,48514,20040,1969-06-16,2008-10-31
001247,ALCOLAC INC,ALC.1,P,01,LU,56282,25506,1972-12-14,1981-03-31
001248,ALCON LABORATORIES INC,ALB.1,P,01,LU,53321,25311,1971-10-04,1978-01-31
001249,ALDEBARAN DRILLING CO INC,4306B,P,01,LU,11659,154,1981-09-08,1985-05-31
001250,ALDEN ELECTRONICS INC,ADNE,C,01,LC,85252,7371,1985-01-07,1997-01-13
001251,ALDON INDUSTRIES INC,2904B,C,00X,LU,48733,174,1974-01-01,1978-01-30
001251,ALDON INDUSTRIES INC,2904B,P,01,LU,48733,174,1978-01-31,1981-02-27
001252,ALDRICH CHEMICAL INC,ALDC.,P,01,LU,11683,155,1972-12-14,1975-07-31
001253,ALEXANDER & ALEXANDER,AAL.1,P,01,LU,63845,4,1972-12-14,1997-02-28
001254,MATSON INC,MATX,P,01,LU,11691,157,1972-12-14,E
001255,ALEXANDER ENERGY CORP,AEOK,P,02,LC,11704,5198,1981-11-19,1996-08-29
001257,ALEXANDER'S INC,ALX,P,01,LU,49330,20041,1969-10-07,E
001258,CAPCO ENERGY INC,CGYNQ,C,01,LC,11712,5261,1982-02-17,1983-10-28
001259,TAMIR BIOTHECHNOLOGY INC,ACEL.,C,01,LC,11739,35,2004-09-09,2009-01-05
001259,TAMIR BIOTHECHNOLOGY INC,ACEL.,C,01,LC,11739,35,1984-01-31,1986-11-04
001259,TAMIR BIOTHECHNOLOGY INC,ACEL.,C,00X,LC,11739,35,1983-08-01,1984-01-30
001259,TAMIR BIOTHECHNOLOGY INC,ACEL.,C,01,LC,11739,35,1996-12-05,1999-04-27
