gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
022797,COMMAND SECURITY CORP,MOC,2018-03-31,2017,20,2020,202010,20201080,561612,7381,56,561,73,7381
022829,O'CHARLEY'S INC,CHUX,2011-12-31,2011,25,2530,253010,25301040,722110,5812,72,722,58,5812
022861,CKX LANDS INC,CKX,2025-12-31,2025,60,6020,602010,60201020,531190,6519,53,531,65,6519
022962,RESERVE PETROLEUM CO,RSRV,2025-12-31,2025,10,1010,101020,10102020,211120,1311,21,211,13,1311
023002,COMSTOCK RESOURCES INC -OLD,CRK.5,2017-12-31,2017,10,1010,101020,10102020,211111,1311,21,211,13,1311
023062,JOE'S JEANS INC,JOEZ,2014-11-30,2014,25,2520,252030,25203010,000315,2300,00,000,23,2300
023077,UNITI GROUP INC,UNIT,2025-12-31,2025,50,5010,501010,50101020,517111,4813,51,517,48,4813
023084,BENCHMARK ELECTRONICS INC,BHE,2025-12-31,2025,45,4520,452030,45203020,334412,3672,33,334,36,3672
023092,VALERITAS HOLDINGS INC,VLRXQ,2018-12-31,2018,35,3510,351010,35101020,339112,3841,33,339,38,3841
023093,FORTERRA INC,FRTA,2021-12-31,2021,15,1510,151020,15102010,327332,3272,32,327,32,3272
023109,GENESIS HEALTHCARE INC,GENNQ,2020-12-31,2020,35,3510,351020,35102020,623110,8051,62,623,80,8051
023119,SOLAREDGE TECHNOLOGIES INC,SEDG,2025-12-31,2025,45,4530,453010,45301010,334413,3674,33,334,36,3674
023147,NATIONAL STORAGE AFFILIATES,NSA,2025-12-31,2025,60,6010,601080,60108020,531120,6798,53,531,67,6798
023167,BLUE BIRD CORP,BLBD,2025-09-30,2025,20,2010,201060,20106010,336211,3713,33,336,37,3713
023195,MATRIX SERVICE CO,MTRX,2025-06-30,2025,20,2010,201030,20103010,237120,1623,23,237,16,1623
023220,ORBITAL ATK INC,OA,2017-12-31,2017,20,2010,201010,20101010,332993,3480,33,332,34,3480
023224,ESCO TECHNOLOGIES INC,ESE,2025-09-30,2025,20,2010,201060,20106020,334515,3825,33,334,38,3825
